#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
CE|24018|34.0409|-118.7108|104|Malibu - Pepperdine Athletic Field|2003-04-28T00:00:00|3000-01-01T00:00:00
CE|24020|34.0752|-118.2176|106|Los Angeles - I5 & Pasadena Ave|2003-03-18T00:00:00|3000-01-01T00:00:00
CE|24021|34.1741|-118.2001|315|Glendale - Chevy Chase & Linda Vista|2003-03-17T00:00:00|3000-01-01T00:00:00
CE|24022|34.155|-118.1327|265|Pasadena - I210 & Lake|2003-03-03T00:00:00|3000-01-01T00:00:00
CE|24023|34.1655|-118.1502|293|Pasadena - Fair Oaks & Hammond|2002-03-22T00:00:00|3000-01-01T00:00:00
CE|24025|34.0408|-118.1296|92|Monterey Park - Elmgate & Garfield|2003-03-04T00:00:00|3000-01-01T00:00:00
CE|24029|34.1034|-118.1001|136|San Gabriel - Del Mar & Las Tunas|2005-01-27T00:00:00|3000-01-01T00:00:00
CE|24030|34.0971|-118.1306|153|Alhambra - 1st & Woodward|2003-03-04T00:00:00|3000-01-01T00:00:00
CE|24033|34.0841|-118.1006|107|San Gabriel - Del Mar & Wells|2003-03-04T00:00:00|3000-01-01T00:00:00
CE|24034|34.0255|-118.2301|70|Los Angeles - Santa Fe & Olympic|2003-04-08T00:00:00|3000-01-01T00:00:00
CE|24039|34.004|-118.287|49|Los Angeles - Vernon & Hoover|2003-04-09T00:00:00|3000-01-01T00:00:00
CE|24040|34.0312|-118.2078|98|Los Angeles - Whittier & Euclid|2003-03-18T00:00:00|3000-01-01T00:00:00
CE|24042|34.15|-118.079|212|Pasadena - I210 & Rosemead|2001-07-23T00:00:00|3000-01-01T00:00:00
CE|24048|34.0289|-118.4824|48|Santa Monica - 19th & Wilshire|2003-04-18T00:00:00|3000-01-01T00:00:00
CE|24051|34.25|-118.5365|276|Northridge - Lassen & Reseda|2002-01-22T00:00:00|3000-01-01T00:00:00
CE|24062|34.6986|-118.0774|731|Lancaster - Lancaster & 30th St East|2002-02-26T00:00:00|3000-01-01T00:00:00
CE|24064|34.4341|-118.5319|366|Santa Clarita - Seco & Bouguet Cyn Roads|2003-04-24T00:00:00|3000-01-01T00:00:00
CE|24087|34.236|-118.439|262|Arleta - Nordhoff Ave Fire Sta|1997-06-03T00:00:00|3000-01-01T00:00:00
CE|24088|34.296|-118.375|451|Pacoima - Kagel Canyon Fire Sta|2004-06-24T00:00:00|3000-01-01T00:00:00
CE|24103|34.1599|-118.532|256|Tarzana - Clubhouse|2004-07-13T00:00:00|3000-01-01T00:00:00
CE|24109|34.1079|-118.153|186|South Pasadena - Fremont & Oak|2002-01-30T00:00:00|3000-01-01T00:00:00
CE|24110|34.1086|-118.0578|123|Temple City - Las Tunas & Kauffman|2002-02-08T00:00:00|3000-01-01T00:00:00
CE|24114|34.0753|-118.0419|83|El Monte - Valley Blvd & Santa Anita|2003-01-27T00:00:00|3000-01-01T00:00:00
CE|24115|34.0955|-118.0119|101|El Monte - Peck & Cherrylee|2004-11-04T00:00:00|3000-01-01T00:00:00
CE|24117|34.5192|-118.2863|861|Agua Dulce - Sierra Hwy & Anthony Rd|2003-06-17T00:00:00|3000-01-01T00:00:00
CE|24126|34.289|-118.746|315|Simi Valley - Sycamore & Avenida|2001-06-19T00:00:00|3000-01-01T00:00:00
CE|24157|34.009|-118.361|146|Los Angeles - Baldwin Hills|2001-11-06T00:00:00|3000-01-01T00:00:00
CE|24269|34.956|-118.159|789|Mojave - Hwy 14 & Backus Rd|2008-11-19T00:00:00|3000-01-01T00:00:00
CE|24271|34.6736|-118.4309|999|Lake Hughes #1 - Fire Station #78|1997-08-19T00:00:00|3000-01-01T00:00:00
CE|24272|34.6081|-118.5592|648|Lake Hughes #9A|2004-05-25T00:00:00|3000-01-01T00:00:00
CE|24274|34.827|-118.265|732|Rosamond - Godde Ranch|2009-11-19T00:00:00|3000-01-01T00:00:00
CE|24277|34.4592|-118.6517|399|Castaic - Hasley Canyon|1997-12-16T00:00:00|3000-01-01T00:00:00
CE|24279|34.387|-118.533|378|Newhall - County Fire Sta.|2003-01-27T00:00:00|3000-01-01T00:00:00
CE|24289|34.055|-118.251|107|Los Angeles - 2nd & Flower|2005-06-16T00:00:00|3000-01-01T00:00:00
CE|24293|34.7381|-118.2176|713|Lancaster - Fox Airfield Grounds A|2005-07-20T00:00:00|3000-01-01T00:00:00
CE|24306|34.595|-118.244|948|Leona Valley #2|2009-10-21T00:00:00|3000-01-01T00:00:00
CE|24307|34.5957|-118.2436|951|Leona Valley #3|2009-10-22T00:00:00|3000-01-01T00:00:00
CE|24308|34.598|-118.242|927|Leona Valley #4|2009-10-23T00:00:00|3000-01-01T00:00:00
CE|24309|34.604|-118.244|927|Leona Valley #6|2009-11-18T00:00:00|3000-01-01T00:00:00
CE|24354|34.3982|-118.5526|371|Valencia - McBean & Orchard Village Rd|2007-11-08T00:00:00|3000-01-01T00:00:00
CE|24363|34.058|-118.209|102|Los Angeles - Marengo & State|2008-04-17T00:00:00|3000-01-01T00:00:00
CE|24396|34.013|-118.8|34|Malibu - Point Dume|1997-09-17T00:00:00|3000-01-01T00:00:00
CE|24399|34.2236|-118.0582|1721|Mt. Wilson - Caltech Seismic Station|2005-08-11T00:00:00|3000-01-01T00:00:00
CE|24400|34.037|-118.178|48|24400- Obregon Park, Los Angeles, Los Angeles, CA, USA|2004-07-15T09:50:00|3000-01-01T00:00:00
CE|24401|34.1152|-118.1314|171|San Marino - Southwestern Academy|1997-10-27T00:00:00|3000-01-01T00:00:00
CE|24402|34.1769|-118.0972|295|Altadena - Eaton Canyon Park|2001-05-10T00:00:00|3000-01-01T00:00:00
CE|24455|34.134|-118.1257|225|Pasadena - California & Wilson|2010-02-12T00:00:00|3000-01-01T00:00:00
CE|24458|34.5842|-118.1464|831|Palmdale - W Palmdale & Med. Centr Dr|2012-01-24T00:00:00|3000-01-01T00:00:00
CE|24461|34.07|-118.15|131|Alhambra - Fremont School|1997-06-24T00:00:00|3000-01-01T00:00:00
CE|24465|34.1403|-118.1247|237|Pasadena - Chester & DelMar|2010-05-19T00:00:00|3000-01-01T00:00:00
CE|24528|34.2712|-118.6772|311|Simi Valley - E Los Angeles & Yosemite|2012-04-05T00:00:00|3000-01-01T00:00:00
CE|24575|34.6632|-118.3862|1003|Elizabeth Lake|1993-08-03T00:00:00|3000-01-01T00:00:00
CE|24576|34.5801|-118.2001|921|Anaverde Valley - City Ranch|1991-02-26T00:00:00|3000-01-01T00:00:00
CE|24586|34.848|-118.536|937|Neenach - Sacatara Creek|1991-02-25T00:00:00|3000-01-01T00:00:00
CE|24592|34.053|-118.171|184|Los Angeles - City Terrace|1990-09-10T00:00:00|3000-01-01T00:00:00
CE|24611|34.0591|-118.2466|117|Los Angeles - Temple & Hope|1998-04-02T00:00:00|3000-01-01T00:00:00
CE|24612|34.0428|-118.2723|71|Los Angeles - Pico & Sentous|1998-04-01T00:00:00|3000-01-01T00:00:00
CE|24644|34.743|-118.724|1364|Sandberg - Bald Mountain|1997-10-09T00:00:00|3000-01-01T00:00:00
CE|24691|34.149|-118.15|260|Pasadena - Fair Oaks & Walnut|2004-01-01T00:00:00|3000-01-01T00:00:00
CE|24722|34.1543|-118.464|213|Sherman Oaks - Ventura & Columbus|2003-03-25T00:00:00|3000-01-01T00:00:00
CE|24752|34.1423|-118.3051|318|Los Angeles - Griffith Park/Toyon(Rock)|2004-11-16T00:00:00|3000-01-01T00:00:00
CE|24763|34.327|-118.444|448|Sylmar - County Hospital Grounds|1997-06-03T00:00:00|3000-01-01T00:00:00
CE|24765|34.219|-118.429|241|Panorama City - Roscoe & Woodman|2004-03-03T00:00:00|3000-01-01T00:00:00
CE|24800|34.2725|-118.4668|294|Mission Hills - Sepulveda & San Fernando|2000-03-15T00:00:00|3000-01-01T00:00:00
CE|24803|34.1856|-118.6238|254|Woodland Hills - Victory & Fallbrook|2003-04-22T00:00:00|3000-01-01T00:00:00
CE|24804|34.2191|-118.628|256|West Hills - Roscoe & Fallbrook|1999-11-09T00:00:00|3000-01-01T00:00:00
CE|24805|34.2289|-118.5289|247|Northridge - Parthenia & Lindley|1999-11-10T00:00:00|3000-01-01T00:00:00
CE|24806|34.2218|-118.5714|250|Canoga Park - Winnetka & Roscoe|1999-11-09T00:00:00|3000-01-01T00:00:00
CE|24808|34.1718|-118.4207|204|Van Nuys - Burbank & Fulton|2003-04-22T00:00:00|3000-01-01T00:00:00
CE|24809|34.0972|-118.3533|105|Hollywood - Sunset & Fairfax|2000-11-16T00:00:00|3000-01-01T00:00:00
CE|24811|34.0837|-118.3081|90|Los Angeles - Melrose & Western|2002-01-14T00:00:00|3000-01-01T00:00:00
CE|24812|34.1076|-118.2639|131|Los Angeles - Rowena & Glendale|1999-12-01T00:00:00|3000-01-01T00:00:00
CE|24813|34.0969|-118.2312|110|Cypress Park - San Fernando & Division|2000-09-20T00:00:00|3000-01-01T00:00:00
CE|24814|34.1396|-118.2109|177|Los Angeles - Colorado & Eagle Rock|2000-09-15T00:00:00|3000-01-01T00:00:00
CE|24815|34.1994|-118.397|226|North Hollywood - Laurel Cyn & Sherman|2004-03-03T00:00:00|3000-01-01T00:00:00
CE|24817|34.0585|-118.4796|115|Los Angeles - Sunset & Kenter|2002-04-17T00:00:00|3000-01-01T00:00:00
CE|24818|34.0411|-118.3493|38|Los Angeles - Washington & La Brea|2002-10-21T00:00:00|3000-01-01T00:00:00
CE|24819|34.0598|-118.4491|98|Los Angeles - Veteran & Wilshire|2001-01-31T00:00:00|3000-01-01T00:00:00
CE|24833|34.0627|-118.3156|60|Los Angeles - Wilshire & Western LADOT|2001-01-31T00:00:00|3000-01-01T00:00:00
CE|24838|34.0373|-118.2642|71|Los Angeles - Olive & Pico|2001-08-22T00:00:00|3000-01-01T00:00:00
CE|24839|34.0582|-118.2522|98|Los Angeles - 1st & Figueroa|2002-11-05T00:00:00|3000-01-01T00:00:00
CE|24841|34.0013|-118.0783|55|Pico Rivera - Durfee & Whittier|2002-10-25T00:00:00|3000-01-01T00:00:00
CE|24850|34.0317|-118.0192|79|Whittier - Workman Mill Rd & Pomona Fwy|2002-01-16T00:00:00|3000-01-01T00:00:00
CE|24851|34.07|-118.346|65|Los Angeles - 3rd & La Brea LADOT|1999-12-02T00:00:00|3000-01-01T00:00:00
CE|24852|34.0245|-118.2853|55|Los Angeles - Jefferson & Hoover|2001-08-22T00:00:00|3000-01-01T00:00:00
CE|24853|34.0774|-118.2865|83|Los Angeles - Beverly Blvd & Virgil|1999-12-01T00:00:00|3000-01-01T00:00:00
CE|24855|34.4135|-118.7966|211|Piru - Church St & Camulos|2000-02-17T00:00:00|3000-01-01T00:00:00
CE|24856|34.1849|-118.8851|220|Thousand Oaks - Hillcrest & McCloud|2003-02-27T00:00:00|3000-01-01T00:00:00
CE|24857|34.1862|-118.9296|195|Newbury Park - Hillcrest & Lawrence|2003-06-24T00:00:00|3000-01-01T00:00:00
CE|24858|34.1407|-118.8761|296|Thousand Oaks - Lake Sherwood & Potrero|2003-02-20T00:00:00|3000-01-01T00:00:00
CE|24859|34.1811|-118.761|325|Oak Park - Kanan & Deerhill|2003-03-11T00:00:00|3000-01-01T00:00:00
CE|24860|34.271|-118.7361|280|Simi Valley - Church St & Los Angeles Av|2004-08-04T00:00:00|3000-01-01T00:00:00
CE|24861|34.2623|-118.6702|316|Simi Valley - Katherine Rd & Sylvan|2000-02-16T00:00:00|3000-01-01T00:00:00
CE|24863|34.2239|-118.9949|42|Camarillo - Woodcreek & Santa Rosa|2002-05-30T00:00:00|3000-01-01T00:00:00
CE|24864|34.2565|-118.9958|91|Somis - Somis Rd|2003-02-27T00:00:00|3000-01-01T00:00:00
CE|24865|34.1385|-118.3651|180|Universal City - Hwy 101 & Lankershim|2003-03-13T00:00:00|3000-01-01T00:00:00
CE|24866|34.1933|-118.5484|225|Reseda - Vanowen & Wilbur|2000-02-25T00:00:00|3000-01-01T00:00:00
CE|24907|34.3347|-118.3985|544|Sylmar - Pacoima Dam Downstream|1999-08-17T00:00:00|3000-01-01T00:00:00
CE|24909|34.0294|-118.4353|42|Los Angeles - I10/405 Interchange Grnds|2002-05-08T00:00:00|3000-01-01T00:00:00
CE|24941|34.0174|-118.1468|56|City of Commerce - Whittier & Gerhart|2003-02-20T00:00:00|3000-01-01T00:00:00
CE|24943|34.1721|-118.2891|171|Glendale - Glenoaks & Western|2003-04-15T00:00:00|3000-01-01T00:00:00
CE|24944|34.2302|-118.2528|479|Glendale - Foothill Blvd & New York Ave|2003-04-07T00:00:00|3000-01-01T00:00:00
CE|24945|34.1632|-118.2554|174|Glendale - Brand Blvd & Stocker|1999-11-30T00:00:00|3000-01-01T00:00:00
CE|24946|34.1733|-118.2285|248|Glendale - Canada & Verdugo|2002-10-03T00:00:00|3000-01-01T00:00:00
CE|24947|34.1799|-118.3366|183|Burbank - Burbank Blvd & Buena Vista|1999-11-30T00:00:00|3000-01-01T00:00:00
CE|24965|34.5702|-118.0301|808|Palmdale - 55th St East & Ave R|2002-10-09T00:00:00|3000-01-01T00:00:00
CE|24967|34.6019|-118.182|825|Palmdale - 30th St West & Ave P|2003-06-02T00:00:00|3000-01-01T00:00:00
CE|24977|34.0411|-118.2478|75|Los Angeles - 7th & San Julian|2003-04-08T00:00:00|3000-01-01T00:00:00
CE|24978|34.0437|-118.4428|69|Los Angeles - I405 & Missouri|2003-04-21T00:00:00|3000-01-01T00:00:00
CE|24980|34.0557|-118.2739|91|Los Angeles - 7th & Burlington|2003-04-08T00:00:00|3000-01-01T00:00:00
CE|24981|34.168|-118.379|192|North Hollywood - Tujunga & Chandler|2003-04-22T00:00:00|3000-01-01T00:00:00
CE|24982|34.1|-118.288|126|Los Angeles - Hollywood Blvd & Hillhurst|2003-11-16T00:00:00|3000-01-01T00:00:00
CE|24983|34.0507|-118.384|40|Los Angeles - Robertson & Pickford|2002-05-09T00:00:00|3000-01-01T00:00:00
CE|24984|34.0212|-118.3251|37|Los Angeles - Exposition & 7th Ave|2003-04-09T00:00:00|3000-01-01T00:00:00
CE|24987|34.0125|-118.257|62|Los Angeles - Central & Jefferson|2003-04-09T00:00:00|3000-01-01T00:00:00
CE|25029|34.7485|-119.134|1660|Frazier Park - Lockwood Valley|2004-05-24T00:00:00|3000-01-01T00:00:00
CE|25051|34.8407|-119.0681|1707|Frazier Park - Cuddy Valley|2009-10-19T00:00:00|3000-01-01T00:00:00
CE|25084|34.8566|-119.2107|1882|Frazier Park - Mt. Abel|2009-10-20T00:00:00|3000-01-01T00:00:00
CE|25091|34.4229|-119.8531|2|Santa Barbara - UCSB Goleta|2001-06-12T00:00:00|3000-01-01T00:00:00
CE|25130|34.1754|-119.2257|2|Oxnard - Victoria & Channel Islands Blvd|2002-10-08T00:00:00|3000-01-01T00:00:00
CE|25131|34.1507|-119.198|2|Port Hueneme - 2nd & Clara|2002-10-08T00:00:00|3000-01-01T00:00:00
CE|25132|34.3533|-119.0601|80|Santa Paula - 10th & Main|2003-03-10T00:00:00|3000-01-01T00:00:00
CE|25133|34.2703|-119.1805|62|Ventura - Telephone & Montgomery|2004-03-04T00:00:00|3000-01-01T00:00:00
CE|25134|34.2212|-119.0408|46|Camarillo - Arneill & Pickwick|2002-10-08T00:00:00|3000-01-01T00:00:00
CE|25135|34.1864|-119.1787|11|Oxnard - Saviers & Hill|2004-03-04T00:00:00|3000-01-01T00:00:00
CE|25147|34.1125|-119.1193|1|Point Mugu - Naval Air Station|2001-06-18T00:00:00|3000-01-01T00:00:00
CE|25148|34.1089|-119.0658|427|Point Mugu - Laguna Peak|1997-07-31T00:00:00|3000-01-01T00:00:00
CE|25169|34.0152|-119.3635|45|Anacapa Island|2007-08-01T00:00:00|3000-01-01T00:00:00
CE|25191|34.489|-119.508|640|Santa Barbara - Juncal Dam Downstream|2004-03-04T00:00:00|3000-01-01T00:00:00
CE|25246|34.229|-119.175|23|Oxnard - Vineyard & Esplanade|2004-09-07T00:00:00|3000-01-01T00:00:00
CE|25282|34.2082|-119.0797|21|Camarillo|2002-10-08T00:00:00|3000-01-01T00:00:00
CE|25340|34.2764|-119.2944|16|Ventura - Harbor & California|2001-06-29T00:00:00|3000-01-01T00:00:00
CE|25392|34.415|-119.8472|14|Santa Barbara - UCSB Grounds|2007-04-10T00:00:00|3000-01-01T00:00:00
CE|25423|34.439|-119.756|53|Santa Barbara - Hwy 101 & State|2001-06-12T00:00:00|3000-01-01T00:00:00
CE|25459|34.5251|-119.6856|429|Santa Barbara - Gibraltar Dam Grnds|2010-06-23T00:00:00|3000-01-01T00:00:00
CE|25782|34.43|-119.724|44|Santa Barbara - Junipero & Castillo|2004-03-04T00:00:00|3000-01-01T00:00:00
CE|25854|34.4483|-119.231|232|Ojai - Ojai Av & Fairway Ln|2000-06-29T00:00:00|3000-01-01T00:00:00
CE|25862|34.24|-119.179|24|Oxnard - Hwy 101 & Oxnard Blvd|2003-03-11T00:00:00|3000-01-01T00:00:00
CE|25902|34.1794|-119.4696|-98|Oxnard Offshore - MMS OBS Grace|2001-07-18T00:00:00|3000-01-01T00:00:00
CE|25969|34.215|-119.1573|23|Oxnard - Rose & Gonzales|2002-10-08T00:00:00|3000-01-01T00:00:00
CE|26152|34.9188|-120.4415|72|Santa Maria - Caltrans Maint Yard|2004-01-28T00:00:00|3000-01-01T00:00:00
CE|26334|34.9673|-120.4261|69|Santa Maria - Donovan & College|2007-04-09T00:00:00|3000-01-01T00:00:00
CE|26456|34.6383|-120.4569|31|Lompoc - Cabrillo Hwy & Sth G St|2011-09-13T00:00:00|3000-01-01T00:00:00
CE|26472|34.9501|-120.4123|73|Santa Maria - Marian & Palisade|2012-01-23T00:00:00|3000-01-01T00:00:00
CE|26903|34.6117|-120.731|-75|Pt Arguello Offshore - MMS OBS Irene|2001-07-18T00:00:00|3000-01-01T00:00:00
CE|26971|34.519|-120.328|183|Lompoc - Hwy 1 & El Jaro Creek|2004-03-03T00:00:00|3000-01-01T00:00:00
CE|32075|35.2736|-116.0628|293|Baker - Fire Station|2005-04-13T00:00:00|3000-01-01T00:00:00
CE|32076|35.9712|-116.2712|488|Death Valley - Shoshone|2004-03-25T00:00:00|3000-01-01T00:00:00
CE|32207|35.2714|-116.6741|744|Fort Irwin - North Loop & Barstow Rd|2007-02-28T00:00:00|3000-01-01T00:00:00
CE|33083|35.0033|-117.6506|747|Boron - Fire Station|2000-01-21T00:00:00|3000-01-01T00:00:00
CE|34030|35.122|-118.612|1189|Tehachapi - Cummings Valley|2009-11-20T00:00:00|3000-01-01T00:00:00
CE|34093|35.0697|-118.1759|865|Mojave - Hwys 14 & 58|2007-06-25T00:00:00|3000-01-01T00:00:00
CE|34095|35.225|-118.565|769|Tehachapi - Keene Fire Station|2004-10-28T00:00:00|3000-01-01T00:00:00
CE|34107|35.1262|-118.8611|152|Arvin|2009-11-17T00:00:00|3000-01-01T00:00:00
CE|34108|35.0277|-118.7924|290|Wheeler Ridge - Tejon Hills|2009-11-17T00:00:00|3000-01-01T00:00:00
CE|34235|35.3818|-118.9684|149|Bakersfield - Kern County Hospital Grnds|2005-07-14T00:00:00|3000-01-01T00:00:00
CE|34349|35.6156|-118.4784|754|Lake Isabella - Kern River Valley|2005-07-19T00:00:00|3000-01-01T00:00:00
CE|34482|35.3474|-118.8728|148|Bakersfield - Hwy 58 & Edison Rd|2011-08-10T00:00:00|3000-01-01T00:00:00
CE|35078|35.3664|-119.9239|747|California Valley - King Ranch, , , |2006-11-30T00:00:00|3000-01-01T00:00:00
CE|35109|35.1141|-119.6462|656|Panorama Hills - Elkhorn Scarp|2007-07-23T00:00:00|3000-01-01T00:00:00
CE|35110|35.263|-119.8156|695|California Valley - Painted Rock, , , |2007-07-24T00:00:00|3000-01-01T00:00:00
CE|35219|35.4034|-119.4503|84|Buttonwillow - Hwy 58 & Wasco|2004-01-07T00:00:00|3000-01-01T00:00:00
CE|35342|35.2607|-119.8202|669|California Valley - Elkhorn Rd, , , |2007-08-28T00:00:00|3000-01-01T00:00:00
CE|35365|35.3551|-119.0559|118|Bakersfield - Stockdale & California|2005-07-14T00:00:00|3000-01-01T00:00:00
CE|35479|35.3382|-119.0473|122|Bakersfield - Akers & Ming|2011-03-23T00:00:00|3000-01-01T00:00:00
CE|35480|35.2923|-119.0571|121|Bakersfield - Stine & Panama|2011-03-22T00:00:00|3000-01-01T00:00:00
CE|35483|35.4292|-119.0559|120|Bakersfield - Airport|2011-08-09T00:00:00|3000-01-01T00:00:00
CE|35489|35.1477|-119.4682|291|Taft - Hwy 33 & 10th|2011-08-11T00:00:00|3000-01-01T00:00:00
CE|35491|35.3789|-119.0217|122|Bakersfield - 22nd & H|2011-03-24T00:00:00|3000-01-01T00:00:00
CE|36014|35.3039|-120.0222|640|California Valley, , , |2006-11-29T00:00:00|3000-01-01T00:00:00
CE|36138|35.8985|-120.4331|465|Parkfield - Fault Zone 12|2004-10-01T00:00:00|3000-01-01T00:00:00
CE|36153|35.208|-120.457|168|San Luis Obispo - Lopez Lake Grounds|2004-05-19T00:00:00|3000-01-01T00:00:00
CE|36176|35.9219|-120.535|791|Parkfield - Vineyard Canyon 3W|2006-08-03T00:00:00|3000-01-01T00:00:00
CE|36177|35.973|-120.467|725|Parkfield - Vineyard Canyon 2E|2004-10-06T00:00:00|3000-01-01T00:00:00
CE|36227|35.6911|-120.3339|338|Parkfield - Cholame 5W (Sta 5)|2004-04-05T00:00:00|3000-01-01T00:00:00
CE|36228|35.7333|-120.2889|345|Parkfield - Cholame 2W (Sta 2)|2006-09-01T00:00:00|3000-01-01T00:00:00
CE|36229|35.6385|-120.4044|338|Parkfield - Cholame 12W (Sta 12)|2004-10-05T00:00:00|3000-01-01T00:00:00
CE|36316|35.6147|-120.657|246|Paso Robles - Santa Fe & Creston|2006-04-25T00:00:00|3000-01-01T00:00:00
CE|36317|35.4638|-120.6508|299|Atascadero - Hwy 101 & Santa Rosa Rd|2006-04-25T00:00:00|3000-01-01T00:00:00
CE|36341|35.3865|-120.8557|8|Morro Bay - Hwy 1 & Bonita|2007-06-20T00:00:00|3000-01-01T00:00:00
CE|36343|35.144|-120.64|20|Pismo Beach - Hwy 101 & Pismo|2007-06-19T00:00:00|3000-01-01T00:00:00
CE|36399|35.2701|-120.6553|61|San Luis Obispo - South & Broad|2008-03-19T00:00:00|3000-01-01T00:00:00
CE|36401|35.295|-120.671|79|San Luis Obispo - Chorro & Foothill|2008-03-20T00:00:00|3000-01-01T00:00:00
CE|36407|35.7581|-120.3077|347|Parkfield - Fault Zone 1|2004-10-01T00:00:00|3000-01-01T00:00:00
CE|36410|35.7241|-120.2971|350|Parkfield - Cholame 3W|2004-10-05T00:00:00|3000-01-01T00:00:00
CE|36414|35.8364|-120.3961|417|Parkfield - Fault Zone 4|2006-09-28T00:00:00|3000-01-01T00:00:00
CE|36415|35.8177|-120.3789|386|Parkfield - Gold Hill 1W|2004-10-01T00:00:00|3000-01-01T00:00:00
CE|36427|35.274|-120.885|25|Point Buchon - Los Osos|2004-05-19T00:00:00|3000-01-01T00:00:00
CE|36431|35.8709|-120.4052|453|Parkfield - Fault Zone 7|2004-10-01T00:00:00|3000-01-01T00:00:00
CE|36432|35.7384|-120.5078|361|Parkfield - Gold Hill 6W|2004-10-07T00:00:00|3000-01-01T00:00:00
CE|36438|35.8547|-120.2819|501|Parkfield - Stone Corral Array SW1 (4E)|2008-04-22T00:00:00|3000-01-01T00:00:00
CE|36447|35.9268|-120.5099|572|Parkfield - Vineyard Canyon 2W|2004-10-07T00:00:00|3000-01-01T00:00:00
CE|36449|35.878|-120.3823|464|Parkfield - Fault Zone 8|2006-09-21T00:00:00|3000-01-01T00:00:00
CE|36451|35.6843|-120.3418|330|Parkfield - Cholame 6W|2006-08-02T00:00:00|3000-01-01T00:00:00
CE|36456|35.9079|-120.4592|509|Parkfield - Fault Zone 14|2004-10-01T00:00:00|3000-01-01T00:00:00
CE|36457|35.927|-120.4566|505|Parkfield - Fault Zone 16|2004-10-06T00:00:00|3000-01-01T00:00:00
CE|36510|35.7085|-120.1716|397|Parkfield - Temblor|2004-10-06T00:00:00|3000-01-01T00:00:00
CE|36518|35.8915|-120.3529|571|Parkfield - Turkey Flat #4|2009-09-22T00:00:00|3000-01-01T00:00:00
CE|36554|35.8506|-120.2826|572|Parkfield - Stone Corral Array SW2|2008-04-23T00:00:00|3000-01-01T00:00:00
CE|36555|35.8461|-120.2854|490|Parkfield - Stone Corral Array SW3|2008-04-24T00:00:00|3000-01-01T00:00:00
CE|36712|35.556|-120.72|264|Templeton - Hospital Grounds|2004-05-18T00:00:00|3000-01-01T00:00:00
CE|37313|35.6843|-121.1672|467|San Simeon - Hearst Castle Grounds|2006-04-26T00:00:00|3000-01-01T00:00:00
CE|37737|35.5932|-121.125|7|Cambria - Hwy 1 Caltrans Bridge Grnds|2004-05-18T00:00:00|3000-01-01T00:00:00
CE|42079|36.5036|-116.8702|-33|Death Valley - Furnace Creek|2003-06-11T00:00:00|3000-01-01T00:00:00
CE|43080|36.9962|-117.3662|684|Death Valley - Grapevine|2004-10-19T00:00:00|3000-01-01T00:00:00
CE|43158|36.2281|-117.9699|1149|Olancha - North Haiwee Reservoir Grounds|2005-04-14T00:00:00|3000-01-01T00:00:00
CE|44015|36.6007|-118.0605|1143|Lone Pine A|2003-06-11T00:00:00|3000-01-01T00:00:00
CE|44367|36.279|-118.0071|1115|Owens Valley - Olancha|2004-10-28T00:00:00|3000-01-01T00:00:00
CE|45010|36.813|-119.746|101|Fresno - State University|2006-04-19T00:00:00|3000-01-01T00:00:00
CE|45045|36.734|-119.486|118|Fresno - Centerville|2003-06-17T00:00:00|3000-01-01T00:00:00
CE|45516|36.8|-119.8028|96|Fresno - Gettysburg & Wishon|2012-04-02T00:00:00|3000-01-01T00:00:00
CE|46073|36.7549|-120.3825|52|Mendota - Fire Station|2000-03-16T00:00:00|3000-01-01T00:00:00
CE|46173|36.3944|-120.9828|512|Bitterwater - Coalinga Rd.|2004-08-17T00:00:00|3000-01-01T00:00:00
CE|46175|36.0344|-120.5904|776|Coalinga - Slack Canyon|2004-12-15T00:00:00|3000-01-01T00:00:00
CE|46314|36.503|-120.32|90|Cantua Creek School|2004-05-19T00:00:00|3000-01-01T00:00:00
CE|47006|36.973|-121.568|68|Gilroy - Gavilan College Science Bld|2002-09-19T00:00:00|3000-01-01T00:00:00
CE|47125|36.973|-121.953|6|Capitola - Fire Station|2002-10-17T00:00:00|3000-01-01T00:00:00
CE|47126|36.8459|-121.536|67|San Juan Bautista - Fire Station|2004-01-08T00:00:00|3000-01-01T00:00:00
CE|47136|36.252|-121.782|107|Big Sur - Pfeiffer State Park|2002-10-16T00:00:00|3000-01-01T00:00:00
CE|47179|36.671|-121.642|15|Salinas - City Yard|2002-09-24T00:00:00|3000-01-01T00:00:00
CE|47216|36.8069|-121.7793|9|Moss Landing - Hwy 1 & Dolan Rd|2004-01-08T00:00:00|3000-01-01T00:00:00
CE|47232|36.2068|-121.1322|91|King City - Canal & Reich|2004-02-04T00:00:00|3000-01-01T00:00:00
CE|47236|36.572|-121.184|444|San Benito - Bear Valley CDF|2004-08-16T00:00:00|3000-01-01T00:00:00
CE|47288|36.5207|-121.0847|399|San Benito|2005-06-29T00:00:00|3000-01-01T00:00:00
CE|47377|36.5974|-121.8979|17|Monterey - City Hall|2003-08-13T00:00:00|3000-01-01T00:00:00
CE|47379|36.973|-121.5732|122|Gilroy #1 - Gavilan College Tank Grnds|1990-11-01T00:00:00|3000-01-01T00:00:00
CE|47380|36.9813|-121.5569|56|Gilroy #2 - Hwy 101/Bolsa Rd Motel|2004-09-27T00:00:00|3000-01-01T00:00:00
